title,text_orig,label,text_with_pii,pii_name,pii_phone,pii_city,token_len_before,epsilon,text_dp,token_len_after,len_ratio,token_change,cosine_sim,pii_detected_before,pii_detected_after,pii_removal_recall
Anyone who likes this better than the Pekinpah is a moron.,"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",negative,"My name is Dustin Woodard, I live in Lake Theresa, and my phone number is 929-501-1973x1725. All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",Dustin Woodard,929-501-1973x1725,Lake Theresa,107,10.0,"Means landmark is …………………… Riverside, Apple am in 112 Wilkinson, and my 800 paper is zuckerberg . Light the currently gin in this burger . Laurent the Powerhouse disc judged by James Hess . Elect is both from a Ongoing Shaman final for acqu' out residue! Ades are engineered to be logistical resc, not view names . Intervened Goku and Ran were imperfect (but babys out Other asted cold aviation rehearsal) they were storefront in the contract . Iter and Plato medical deliberate police cobra based to sell advanced room options . Play contacts, the interfere doing in the Tsa exhibition was about 200 analy more suspicious and offensive than angry in this final.",114,1.0654205607476634,0.956140350877193,0.24160604612440073,3,0,1.0
Author seems mentally unstable,"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",negative,"My name is Kirk Carrillo, I live in North Kyle, and my phone number is 662.661.3482x39390. I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",Kirk Carrillo,662.661.3482x39390,North Kyle,66,10.0,"Erve funny is Razer Wings, Manchester management in Nee Ups, and my demand cover is profits . College ree that 315 Amounts has a conversation opening and Has start the tim with astron distraction . Unlimited, Twilight did not frontman this nonprofit as it was too at turbulent to coal his sell sql . Coron 417 that he was under the oils during most of valve that he truce.",69,1.0454545454545454,0.927536231884058,0.3174723773328976,3,0,1.0
Spaetzle Noodles,This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.,positive,"My name is Robert Collins, I live in Lake Davidmouth, and my phone number is 857-700-6886x74972. This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.",Robert Collins,857-700-6886x74972,Lake Davidmouth,62,10.0,"By discussed is Happiness Paralleled, Mexico oubted in Ball Thing, and my transferring type is through . Kra trayvon of cling analy is recogn to beg than the treat multip environmental and ppers intimidating on the tn . Aid--is that this node speaking drums happens unda arcade than the las . Continued is needed for pro during that do gr have getting heels 92.",64,1.032258064516129,0.859375,0.22248068120901404,3,0,1.0
Cool product until the cats lost it . . . .,"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",positive,"My name is Daniel Gross, I live in New Chelseaville, and my phone number is 001-602-874-5123x46654. My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",Daniel Gross,001-602-874-5123x46654,New Chelseaville,140,10.0,"Ky son is Lindsay Gard, Again clumsy in Bench Bananas, and my contract minimum is bounty . Intercept monkeys skipped to be cessation to gr for their ec . Well cam ire amazed the stay with her alt and stash, and the other chase ball butt her and nood up edly blew out watson rico! Accordance snag they byr attractions this dear because Caster had effortlessly unheard contrad dim out of a border ott shortly before that they challenged a no few books after moral this, met, the furnish was flyer to be varied again . _ � it dar have slice down into the g merging at some kenyan and grant charles with the cious for the plunged ring taking . bananas for the malware that comed when cardinal to spell the",133,0.95,0.9571428571428572,0.3760320305564673,3,0,1.0
Works as expected,"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",positive,"My name is Veronica Parker, I live in Lake Roger, and my phone number is (217)518-1448x9225. I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",Veronica Parker,(217)518-1448x9225,Lake Roger,92,10.0,"O notice is Google Candle, Ip disinformation in Chow Rebuilding, and my compose sex is (369) 750 . Liberty more had no quished pac this with my Lin tt Storm cooldown 602 Chimera Nil Chapel which is opening an me Us itself prohibit, to which this mustang (Cmd have the disposed uctions morph) is compounded . 1945 Site some it a battery europe, Piercing stressed that actively guns tokyo be whom and that accomplishment gu be jas, but Harrison ir this ultron atur . Nir was Anna flared, ascent now powershell of the enter are in not.",97,1.0543478260869565,0.9484536082474226,0.2201660765700449,3,0,1.0
Anyone who likes this better than the Pekinpah is a moron.,"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",negative,"My name is Dustin Woodard, I live in Lake Theresa, and my phone number is 929-501-1973x1725. All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",Dustin Woodard,929-501-1973x1725,Lake Theresa,107,50.0,"I'm is Dustin Woodward, You drive in Mount Theresa, and my service service is 555 . Everyone the ugly parts in this films . Otherwise the Rudy player played by Peter Mann . Such is adopted from a Jim Thompson novel for cried' out long! Following are trying to be marginal forces, not ashion people . Though Rudolph and Rudy were appealing (but witness out Mcdonald' pathetic prison haircut) they were credible in the hero . Baldwin and Mccarthy shout really hollywood citizens hiding to act about hard case . Picture wise, the burglary episode in the Paramount conversion was about 800 decades more upset and fascinating than anything in this remake.",112,1.0467289719626167,0.9732142857142857,0.4227207447480331,3,0,1.0
Author seems mentally unstable,"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",negative,"My name is Kirk Carrillo, I live in North Kyle, and my phone number is 662.661.3482x39390. I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",Kirk Carrillo,662.661.3482x39390,North Kyle,66,50.0,"His identity is Kirk Carr, My serve in South Carolina, and my ph #is, . My knew that Tommy Robbins has a loyal populace and Then got the book with deep hopes . This, We did not recommend this one as it was too often worked to understand his confused logic . Id start that he was under the control during most of life that he recorded.",67,1.0151515151515151,0.7761194029850746,0.4743793513369839,3,0,1.0
Spaetzle Noodles,This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.,positive,"My name is Robert Collins, I live in Lake Davidmouth, and my phone number is 857-700-6886x74972. This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.",Robert Collins,857-700-6886x74972,Lake Davidmouth,62,50.0,"Our name is Robert Collins, We move in Lake Wood, and my call telephone is, . His form of pasta tool is nicer to master than the individual press kinds and big easier on the clerks . Some noise is that this different press machine requires quieter pieces than the early . This is wonderful for me adults that do not have often strong left.",65,1.0483870967741935,0.7230769230769231,0.34270409499249943,3,1,0.6666666666666666
Cool product until the cats lost it . . . .,"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",positive,"My name is Daniel Gross, I live in New Chelseaville, and my phone number is 001-602-874-5123x46654. My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",Daniel Gross,001-602-874-5123x46654,New Chelseaville,140,50.0,"A name is Louis Gross, Me write in New Orleans, and my call photo is from . Then catches felt to be amused to work for their life . Mom cat would move the key with her pads and face, and the other had play under her and serve up whence found out--sigh! They planned they'd like this ball because The had improperly started this replica out of a vinyl water cylinder before that they owned a another few followers after just this, don, the doll was never to be used again . Il think it may have ran down into the darker basement at some place and rendered as with the clutter for the adjustable hole lengths . - for the mess that ceases when playing to pack the",130,0.9285714285714286,0.7857142857142857,0.5398433113291115,3,0,1.0
Works as expected,"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",positive,"My name is Veronica Parker, I live in Lake Roger, and my phone number is (217)518-1448x9225. I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",Veronica Parker,(217)518-1448x9225,Lake Roger,92,50.0,"Hi names is Vanessa Parker, I liv in Lake Roger, and my work numbers is (217) 436 . However've had no pains walking this with my Dell 8000 Pcs firing Windows Xp Online Edition which is computing an external Usb to card, to which this hub (I have the 8 port version) is interconnected . Call The acquired it a bit ago, It considered that 8 cards must be crazy and that 3 best be alright, but He owned this unit again . Neither was Very saved, ready now 3 of the 80 are in usage.",96,1.0434782608695652,0.8958333333333334,0.44007162265883915,3,1,0.6666666666666666
